"","Date","Open","Volume","Adj Close"
"1","25.12.2023",6.69417,"943,41M",6.88303
"2","22.12.2023",6.88303,"1,45B",6.7865
"3","21.12.2023",6.7865,"1,73B",6.81906
"4","20.12.2023",6.81906,"1,47B",6.88827
"5","19.12.2023",6.88827,"1,98B",7.02215
"6","18.12.2023",7.02215,"1,90B",6.915
"7","15.12.2023",6.915,"2,12B",6.72058
"8","14.12.2023",6.72058,"2,01B",6.78694
"9","13.12.2023",6.78694,"2,02B",6.80363
"10","12.12.2023",6.80363,"1,97B",6.96039
"11","11.12.2023",6.96039,"1,81B",7.0425
"12","08.12.2023",7.0425,"1,67B",6.9345
"13","07.12.2023",6.9345,"1,91B",7.10383
"14","06.12.2023",7.10383,"2,28B",7.14503
"15","05.12.2023",7.14503,"1,63B",7.10123
"16","04.12.2023",7.10123,"1,85B",7.11822
"17","01.12.2023",7.11822,"1,69B",7.06704
"18","30.11.2023",7.06704,"1,88B",7.14593
"19","29.11.2023",7.14593,"1,76B",7.13643
"20","28.11.2023",7.13643,"1,94B",7.04063
"21","27.11.2023",7.04063,"2,26B",6.92799
"22","24.11.2023",6.92799,"1,71B",7.0073
"23","23.11.2023",7.0073,"2,24B",7.04476
"24","22.11.2023",7.04476,"1,71B",6.97024
"25","21.11.2023",6.97024,"1,87B",6.91133
"26","20.11.2023",6.91133,"1,66B",6.79147
"27","17.11.2023",6.79147,"1,49B",6.68152
"28","16.11.2023",6.68152,"1,52B",6.71066
"29","15.11.2023",6.71066,"1,64B",6.59768
"30","14.11.2023",6.59768,"2,12B",6.75199
"31","13.11.2023",6.75199,"1,83B",6.8149
"32","10.11.2023",6.8149,"1,60B",6.77216
"33","09.11.2023",6.77216,"1,93B",6.87072
"34","08.11.2023",6.87072,"1,77B",6.83732
"35","07.11.2023",6.83732,"1,64B",6.77132
"36","06.11.2023",6.77132,"1,60B",6.64224
"37","03.11.2023",6.64224,"1,83B",6.57189
"38","02.11.2023",6.57189,"1,73B",6.55082
"39","01.11.2023",6.55082,"1,92B",6.6826
"40","31.10.2023",6.6826,"1,68B",6.65091
"41","30.10.2023",6.65091,"1,97B",6.63259
"42","27.10.2023",6.63259,"2,11B",6.51052
"43","26.10.2023",6.51052,"3,01B",6.94935
"44","25.10.2023",6.94935,"2,56B",6.74854
"45","24.10.2023",6.74854,"2,86B",6.6231
"46","23.10.2023",6.6231,"2,21B",6.66005
"47","20.10.2023",6.66005,"2,20B",6.83201
"48","19.10.2023",6.83201,"2,22B",6.94057
"49","18.10.2023",6.94057,"1,98B",6.9486
"50","17.10.2023",6.9486,"2,41B",7.15706
"51","16.10.2023",7.15706,"2,48B",7.16376
"52","13.10.2023",7.16376,"2,30B",7.33824
"53","12.10.2023",7.33824,"3,40B",7.37166
"54","11.10.2023",7.37166,"2,79B",7.23907
"55","10.10.2023",7.23907,"2,80B",7.23442
"56","09.10.2023",7.23442,"2,66B",7.33178
"57","06.10.2023",7.33178,"2,97B",7.30907
"58","05.10.2023",7.30907,"3,60B",7.43894
